Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),Region Name
"Umatilla County, OR",101.0,893.5,225.0,1118.5,1219.5,WECC_PNW
"Powhatan County, VA",200.0,0.0,100.0,100.0,300.0,PJM_Dom
"Grant County, WA",36.0,752.5,0.0,752.5,788.5,WECC_PNW
"Seneca County, NY",0.0,0.5,0.0,0.5,0.5,NY_Z_C&E
"Carroll County, GA",0.0,1.0,0.0,1.0,1.0,S_SOU
"Pima County, AZ",16.6,28.53,0.0,28.53,45.13,WECC_AZ
"Victoria County, TX",0.0,0.0,0.3,0.3,0.3,ERC_REST
"Denton County, TX",67.292,347.94,103.0,450.94,518.232,ERC_REST
"Columbia County, GA",1000.0,0.0,0.0,0.0,1000.0,S_VACA
"Chesterfield County, VA",610.0,44.8,50.0,94.8,704.8,PJM_Dom
"Polk County, FL",0.0,8.0,0.0,8.0,8.0,FRCC
"Hidalgo County, TX",0.0,0.4,0.0,0.4,0.4,ERC_REST
"Summit County, OH",0.0,3.5,0.0,3.5,3.5,PJM_ATSI
"Travis County, TX",646.045,327.14,30.0,357.14,1003.185,ERC_REST
"Dubuque County, IA",0.0,2.0,0.0,2.0,2.0,MIS_IA
"Hillsborough County, FL",0.0,22.84,0.0,22.84,22.84,FRCC
"Wichita County, TX",300.0,0.6,0.0,0.6,300.6,ERC_WEST
"Monroe County, GA",500.0,0.0,0.0,0.0,500.0,S_SOU
"Butler County, OH",0.0,8.54,0.0,8.54,8.54,PJM_West
"Miami-Dade County, FL",26.45,78.73,25.75,104.48,130.93,FRCC
"Racine County, WI",80.0,0.0,80.0,80.0,160.0,MIS_WUMS
"Nassau County, NY",0.0,6.5,0.0,6.5,6.5,NY_Z_K
"Southeastern Connecticut Planning Region, CT",18.0,0.0,5.0,5.0,23.0,NENG_CT
"Cuyahoga County, OH",0.0,21.9,0.0,21.9,21.9,PJM_ATSI
"Williamson County, TX",224.0,45.41,389.0,434.41,658.41,ERC_REST
"Bernalillo County, NM",0.0,24.0,10.0,34.0,34.0,WECC_NM
"Niagara County, NY",85.0,296.2,100.0,396.2,481.2,NY_Z_A
"Montgomery County, AL",5.0,0.0,80.0,80.0,85.0,S_SOU
"Chittenden County, VT",0.0,0.5,0.0,0.5,0.5,NENGREST
"Frederick County, MD",1749.0,0.0,231.0,231.0,1980.0,PJM_AP
"St. Lawrence County, NY",0.0,50.0,0.0,50.0,50.0,NY_Z_D
"Storey County, NV",5495.0,70.0,475.0,545.0,6040.0,WECC_NNV
"Essex County, MA",0.0,7.5,0.0,7.5,7.5,NENGREST
"Denver County, CO",44.0,36.75,18.0,54.75,98.75,WECC_CO
"Morris County, NJ",0.0,13.0,0.0,13.0,13.0,PJM_EMAC
"Orleans Parish, LA",0.0,2.55,0.0,2.55,2.55,MIS_AMSO
"Multnomah County, OR",0.0,22.1,0.0,22.1,22.1,WECC_PNW
"Cook County, GA",40.0,40.0,0.0,40.0,80.0,S_SOU
"Ingham County, MI",0.0,0.5,0.0,0.5,0.5,MIS_LMI
"Arapahoe County, CO",160.0,110.05,12.0,122.05,282.05,WECC_CO
"Ward County, TX",300.0,70.0,0.0,70.0,370.0,ERC_WEST
"Philadelphia County, PA",36.0,36.94,0.0,36.94,72.94,PJM_EMAC
"Richmond County, NY",0.0,10.0,0.0,10.0,10.0,NY_Z_J
"Bergen County, NJ",0.0,18.0,0.0,18.0,18.0,PJM_EMAC
"Wilbarger County, TX",280.0,60.0,60.0,120.0,400.0,ERC_WEST
"Harrisonburg city, VA",0.0,18.0,0.0,18.0,18.0,PJM_Dom
"Payne County, OK",250.0,0.0,50.0,50.0,300.0,SPP_WEST
"Hudson County, NJ",10.0,122.5,19.4,141.9,151.9,PJM_EMAC
"Coos County, OR",0.0,0.5,0.0,0.5,0.5,WECC_PNW
"Boone County, AR",0.0,2.0,0.0,2.0,2.0,SPP_WEST
"Kaufman County, TX",300.0,0.0,0.0,0.0,300.0,ERC_REST
"Autauga County, AL",35.0,0.0,5.0,5.0,40.0,S_SOU
"Haskell County, TX",700.0,0.0,300.0,300.0,1000.0,ERC_WEST
"Surry County, VA",280.0,0.0,20.0,20.0,300.0,PJM_Dom
"Wayne County, MI",130.0,13.4,0.0,13.4,143.4,MIS_LMI
"Macomb County, MI",45.0,0.0,0.0,0.0,45.0,MIS_LMI
"Kane County, IL",0.0,0.0,20.0,20.0,20.0,PJM_COMD
"Pottawattamie County, IA",12.0,537.0,65.0,602.0,614.0,MIS_MIDA
"Jefferson County, KY",331.5,7.89,65.0,72.89,404.39,S_C_KY
"Tulsa County, OK",500.0,31.9,0.0,31.9,531.9,SPP_WEST
"Albany County, NY",0.0,8.8,0.0,8.8,8.8,NY_Z_F
"Cavalier County, ND",100.0,2.5,30.0,32.5,132.5,MIS_MAPP
"Madison County, MS",850.0,0.0,0.0,0.0,850.0,MIS_D_MS
"Shelby County, KY",0.0,1.0,0.0,1.0,1.0,S_C_KY
"Washington County, GA",0.0,261.0,0.0,261.0,261.0,S_SOU
"Brazos County, TX",0.0,6.0,0.0,6.0,6.0,ERC_REST
"Shawnee County, KS",0.0,0.58,0.0,0.58,0.58,SPP_N
"Montgomery County, TX",45.0,53.88,0.0,53.88,98.88,MIS_WOTA
"Jackson County, AL",0.0,50.0,0.0,50.0,50.0,S_C_TVA
"Boone County, MO",0.0,0.7,0.0,0.7,0.7,MIS_MO
"Elkhart County, IN",1500.0,0.0,0.0,0.0,1500.0,MIS_INKY
"Reagan County, TX",0.0,20.0,0.0,20.0,20.0,ERC_WEST
"Tarrant County, TX",658.0,352.18,301.0,653.18,1311.18,ERC_REST
"Troup County, GA",650.0,14.0,0.0,14.0,664.0,S_SOU
"Lucas County, OH",0.0,1.3,0.0,1.3,1.3,PJM_ATSI
"Nueces County, TX",200.0,200.5,500.0,700.5,900.5,ERC_REST
"Appling County, GA",0.0,15.0,0.0,15.0,15.0,S_SOU
"Wilkes County, GA",4.0,82.0,0.0,82.0,86.0,S_SOU
"Orange County, FL",0.0,25.4,0.0,25.4,25.4,FRCC
"Bucks County, PA",200.0,0.0,80.0,80.0,280.0,PJM_EMAC
"Iredell County, NC",272.0,4.0,0.0,4.0,276.0,S_VACA
"Virginia Beach city, VA",130.0,8.0,0.0,8.0,138.0,PJM_Dom
"Warren County, MS",0.0,20.0,0.0,20.0,20.0,MIS_D_MS
"Faulkner County, AR",10.0,0.0,0.0,0.0,10.0,MIS_AR
"Fayette County, GA",446.0,70.0,105.0,175.0,621.0,S_SOU
"Polk County, IA",51.0,602.9,118.2,721.1,772.1,MIS_MIDA
"Wake County, NC",3.0,18.33,0.0,18.33,21.33,S_VACA
"Wyandotte County, KS",600.0,14.0,0.0,14.0,614.0,SPP_N
"Calloway County, KY",0.0,25.0,0.0,25.0,25.0,S_C_TVA
"Jefferson Parish, LA",0.0,0.7,0.0,0.7,0.7,MIS_AMSO
"Somerset County, NJ",10.0,62.0,0.0,62.0,72.0,PJM_EMAC
"Judith Basin County, MT",0.0,20.0,0.0,20.0,20.0,WECC_MT
"Madison County, KY",0.0,20.0,0.0,20.0,20.0,S_C_KY
"El Paso County, TX",400.0,2.4,24.9,27.3,427.3,WECC_NM
"Deschutes County, OR",0.0,6.5,0.0,6.5,6.5,WECC_PNW
"Bannock County, ID",0.0,5.4,0.0,5.4,5.4,WECC_ID
"Putnam County, IL",82.0,0.0,0.0,0.0,82.0,PJM_COMD
"Douglas County, OR",0.0,0.5,0.0,0.5,0.5,WECC_PNW
