Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),Region Name
"Yates County, NY",0.0,80.0,0.0,80.0,80.0,NY_Z_C&E
"Dorchester County, SC",800.0,0.0,100.0,100.0,900.0,S_VACA
"Fayette County, KY",0.0,2.0,0.0,2.0,2.0,S_C_KY
"Bristol County, MA",0.0,4.0,0.0,4.0,4.0,NENGREST
"Harris County, TX",1262.6,768.12,160.0,928.12,2190.72,ERC_REST
"Mercer County, NJ",0.0,28.0,0.0,28.0,28.0,PJM_EMAC
"Spalding County, GA",300.0,0.0,0.0,0.0,300.0,S_SOU
"Shelby County, TN",255.0,424.63,5.0,429.63,684.63,S_C_TVA
"Erie County, NY",0.0,51.0,0.0,51.0,51.0,NY_Z_A
"Henry County, GA",140.0,0.0,20.0,20.0,160.0,S_SOU
"DuPage County, IL",146.0,314.85,191.0,505.85,651.85,PJM_COMD
"Venango County, PA",0.0,83.5,0.0,83.5,83.5,PJM_PENE
"Salt Lake County, UT",142.0,296.9,230.0,526.9,668.9,WECC_UT
"Rockingham County, NH",0.0,0.2,0.0,0.2,0.2,NENGREST
"Monroe County, NY",0.0,3.9,0.0,3.9,3.9,NY_Z_B
"Gloucester County, NJ",47.5,0.0,13.3,13.3,60.8,PJM_EMAC
"Dallas County, TX",2911.2,688.78,605.8,1294.58,4205.78,ERC_REST
"District of Columbia, DC",0.0,10.04,0.0,10.04,10.04,PJM_SMAC
"Boulder County, CO",0.0,18.12,0.0,18.12,18.12,WECC_CO
"Salem County, NJ",200.0,0.0,100.0,100.0,300.0,PJM_EMAC
"Caldwell County, TX",96.0,0.0,48.0,48.0,144.0,ERC_REST
"Pinal County, AZ",400.0,0.0,0.0,0.0,400.0,WECC_AZ
"Whatcom County, WA",0.0,1.0,0.0,1.0,1.0,WECC_PNW
"Walla Walla County, WA",500.0,0.4,0.0,0.4,500.4,WECC_PNW
"Wood County, OH",40.0,0.0,40.0,40.0,80.0,PJM_ATSI
"Audrain County, MO",0.0,10.0,5.0,15.0,15.0,MIS_MO
"Mecklenburg County, VA",502.5,741.5,278.0,1019.5,1522.0,PJM_Dom
"Catawba County, NC",481.0,223.0,176.0,399.0,880.0,S_VACA
"Cumberland County, ME",0.0,4.5,0.0,4.5,4.5,NENG_ME
"Worcester County, MA",0.0,6.7,0.0,6.7,6.7,NENGREST
"Crook County, OR",5.0,476.0,0.0,476.0,481.0,WECC_PNW
"Waukesha County, WI",0.0,4.0,0.0,4.0,4.0,MIS_WUMS
"Genesee County, NY",420.0,0.0,50.0,50.0,470.0,NY_Z_B
"Blue Earth County, MN",0.0,0.6,0.0,0.6,0.6,MIS_MNWI
"Fort Bend County, TX",0.0,2.0,0.0,2.0,2.0,ERC_REST
"Floyd County, GA",554.0,0.0,50.0,50.0,604.0,S_SOU
"Scott County, MN",0.0,3.9,0.0,3.9,3.9,MIS_MNWI
"Davidson County, TN",0.0,6.4,12.0,18.4,18.4,S_C_TVA
"Calumet County, WI",0.0,0.0,20.0,20.0,20.0,MIS_WUMS
"Norfolk County, MA",0.0,19.0,0.0,19.0,19.0,NENGREST
"Pecos County, TX",300.0,155.0,0.0,155.0,455.0,ERC_WEST
"LaPorte County, IN",100.0,0.0,0.0,0.0,100.0,MIS_INKY
"Aiken County, SC",0.0,0.0,85.0,85.0,85.0,S_VACA
"Uinta County, WY",120.0,0.0,0.0,0.0,120.0,WECC_WY
"Maricopa County, AZ",5966.0,2159.6,1276.5,3436.1,9402.1,WECC_AZ
"Onondaga County, NY",0.0,0.7,0.0,0.7,0.7,NY_Z_C&E
"St. Louis city, MO",13.0,32.5,5.0,37.5,50.5,MIS_MO
"Charles City County, VA",424.0,0.0,0.0,0.0,424.0,PJM_Dom
"Pierce County, WA",0.0,34.95,0.0,34.95,34.95,WECC_PNW
"West Feliciana Parish, LA",0.0,0.0,200.0,200.0,200.0,MIS_LA
"Suffolk County, MA",0.0,34.6,0.0,34.6,34.6,NENGREST
"Jackson County, MO",0.0,24.5,35.0,59.5,59.5,SPP_N
"Bartow County, GA",1200.0,0.0,45.0,45.0,1245.0,S_SOU
"Baltimore County, MD",0.0,1.2,0.0,1.2,1.2,PJM_SMAC
"Hamilton County, TN",0.0,1.2,0.0,1.2,1.2,S_C_TVA
"Doña Ana County, NM",0.0,0.5,0.0,0.5,0.5,WECC_NM
"Burleigh County, ND",0.0,4.0,0.0,4.0,4.0,SPP_WAUE
"Ada County, ID",0.0,18.25,90.0,108.25,108.25,WECC_ID
"Loudoun County, VA",6349.4,5333.67,596.0,5929.67,12279.07,PJM_Dom
"Jefferson County, AL",500.0,8.9,54.0,62.9,562.9,S_SOU
"Forsyth County, NC",0.0,8.0,0.0,8.0,8.0,S_VACA
"Clay County, MO",657.8,33.4,207.2,240.6,898.4,SPP_N
"Montgomery County, MD",0.0,8.7,0.0,8.7,8.7,PJM_SMAC
"Fulton County, GA",1112.7,534.55,364.0,898.55,2011.25,S_SOU
"Richland Parish, LA",2000.0,0.0,0.0,0.0,2000.0,MIS_LA
"Union County, SC",0.0,9.0,0.0,9.0,9.0,S_VACA
"Spartanburg County, SC",268.0,47.3,60.0,107.3,375.3,S_VACA
"Silver Bow County, MT",0.0,65.5,0.0,65.5,65.5,WECC_MT
"Hampden County, MA",274.0,1.5,0.0,1.5,275.5,NENGREST
"Plymouth County, MA",0.0,1.0,0.0,1.0,1.0,NENGREST
"Weber County, UT",0.0,1.0,0.0,1.0,1.0,WECC_UT
"New Castle County, DE",2.0,7.0,0.0,7.0,9.0,PJM_EMAC
"Coweta County, GA",1000.0,0.0,0.0,0.0,1000.0,S_SOU
"Anne Arundel County, MD",0.0,3.25,0.0,3.25,3.25,PJM_SMAC
"Utah County, UT",1204.0,316.3,230.0,546.3,1750.3,WECC_UT
"Rutherford County, NC",0.0,120.0,0.0,120.0,120.0,S_VACA
"Lake County, IN",1020.0,20.0,20.0,40.0,1060.0,MIS_INKY
"Lancaster County, PA",0.0,0.5,0.0,0.5,0.5,PJM_EMAC
"Charleston County, SC",0.0,0.2,0.6,0.8,0.8,S_VACA
"Banks County, GA",60.0,0.0,120.0,120.0,180.0,S_SOU
"Mercer County, PA",0.0,150.0,90.0,240.0,240.0,PJM_ATSI
"Chester County, PA",450.0,5.0,0.0,5.0,455.0,PJM_EMAC
"Johnson County, KS",15.0,35.05,0.0,35.05,50.05,SPP_N
"Prince Edward County, VA",300.0,0.0,0.0,0.0,300.0,PJM_Dom
"Northampton County, PA",0.0,4.0,0.0,4.0,4.0,PJM_WMAC
"Hennepin County, MN",0.0,35.65,2.0,37.65,37.65,MIS_MNWI
"Sumner County, TN",20.0,120.0,44.8,164.8,184.8,S_C_TVA
"Lee County, FL",0.0,0.3,0.0,0.3,0.3,FRCC
"Prince George's County, MD",834.0,2.0,20.0,22.0,856.0,PJM_SMAC
"Richmond County, GA",200.0,0.0,0.0,0.0,200.0,S_SOU
"Toombs County, GA",0.0,26.0,0.0,26.0,26.0,S_SOU
"Duval County, FL",3.0,30.3,0.0,30.3,33.3,FRCC
"Briscoe County, TX",0.0,68.0,32.0,100.0,100.0,ERC_PHDL
"Dauphin County, PA",0.0,0.4,0.0,0.4,0.4,PJM_WMAC
"Laramie County, WY",115.0,369.0,100.0,469.0,584.0,WECC_WY
"Appomattox County, VA",250.0,0.0,50.0,50.0,300.0,PJM_Dom
