Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),Region Name
"Carbon County, PA",0,80,0,80,80,PJM_WMAC
"Berrien County, MI",300,0,0,0,300,PJM_West
"Fairfield County, OH",800,75,0,75,875,PJM_West
"Clark County, OH",70,2,100,102,172,PJM_ATSI
"Kendall County, IL",3103,0,40,40,3143,PJM_COMD
"Allen County, IN",300,0,0,0,300,PJM_West
"Union County, OH",140,250,80,330,470,PJM_ATSI
"Warren County, OH",0,13.7,0,13.7,13.7,PJM_West
"Stark County, OH",0,1.5,221,222.5,222.5,PJM_ATSI
"Fairfax County, VA",272.7,338.4,334,672.4,945.1,PJM_Dom
"Perry County, OH",26,24,0,24,50,PJM_West
"Norfolk city, VA",0,0.75,0,0.75,0.75,PJM_Dom
"Erie County, OH",190,0,96,96,286,PJM_ATSI
"Orange County, VA",600,0,0,0,600,PJM_AP
"Cumberland County, NJ",550,0,50,50,600,PJM_EMAC
"Butler County, PA",24.5,15.75,0,15.75,40.25,PJM_AP
"Lake County, IL",420,0,60,60,480,PJM_COMD
"Lehigh County, PA",0,12.35,0,12.35,12.35,PJM_WMAC
"Sussex County, VA",600,0,0,0,600,PJM_Dom
"Boone County, KY",0,4,0,4,4,PJM_West
"Prince William County, VA",5159,1675.4,1070,2745.4,7904.4,PJM_Dom
"Mercer County, NJ",0,28,0,28,28,PJM_EMAC
"DuPage County, IL",146,314.85,191,505.85,651.85,PJM_COMD
"Venango County, PA",0,83.5,0,83.5,83.5,PJM_PENE
"Gloucester County, NJ",47.5,0,13.3,13.3,60.8,PJM_EMAC
"District of Columbia, DC",0,10.04,0,10.04,10.04,PJM_SMAC
"Salem County, NJ",200,0,100,100,300,PJM_EMAC
"Wood County, OH",40,0,40,40,80,PJM_ATSI
"Mecklenburg County, VA",502.5,741.5,278,1019.5,1522,PJM_Dom
"Charles City County, VA",424,0,0,0,424,PJM_Dom
"Baltimore County, MD",0,1.2,0,1.2,1.2,PJM_SMAC
"Loudoun County, VA",6349.4,5333.67,596,5929.67,12279.07,PJM_Dom
"Montgomery County, MD",0,8.7,0,8.7,8.7,PJM_SMAC
"New Castle County, DE",2,7,0,7,9,PJM_EMAC
"Anne Arundel County, MD",0,3.25,0,3.25,3.25,PJM_SMAC
"Lancaster County, PA",0,0.5,0,0.5,0.5,PJM_EMAC
"Mercer County, PA",0,150,90,240,240,PJM_ATSI
"Chester County, PA",450,5,0,5,455,PJM_EMAC
"Prince Edward County, VA",300,0,0,0,300,PJM_Dom
"Northampton County, PA",0,4,0,4,4,PJM_WMAC
"Prince George's County, MD",834,2,20,22,856,PJM_SMAC
"Dauphin County, PA",0,0.4,0,0.4,0.4,PJM_WMAC
"Appomattox County, VA",250,0,50,50,300,PJM_Dom
