Model Region,Combined Cycle,Combined Cycle with 90% CCS,Combustion Turbine,Hydro,Nuclear,Biomass,Geothermal,Landfill Gas,Offshore Wind,Onshore Wind,Solar PV/Battery Storage,Solar Thermal,Fuel Cell,Ultra-supercritical Coal without CCS,Ultra-supercritical Coal with 36% CCS,Ultra-supercritical Coal with 90% CCS
SPP_NBR,0.992,0.992,1.03,1,0.98,0.98,1,0.982,1.005,1.005,0.982,0.92,0.982,0.991,0.991,0.979
SPP_CSWS,0.974,0.974,1.006,1,0.977,0.956,1,0.958,1.001,1.001,0.967,0.917,0.975,0.97,0.97,0.97
SPP_REST,0.978,0.978,1.022,1,0.978,0.956,1,0.952,0.991,0.991,0.957,0.918,0.962,0.989,0.989,0.978
WEC_BANC,1.232,1.232,1.173,1,1.072,1.076,1,1.055,1.124,1.124,1.098,1.112,1.045,1.208,1.208,1.203
WEC_CALN,1.23,1.23,1.172,1,1.071,1.076,1,1.055,1.123,1.123,1.096,1.109,1.045,1.207,1.207,1.201
WEC_LADW,1.183,1.183,1.141,1,1.055,1.076,1,1.055,1.104,1.104,1.074,1.076,1.045,1.167,1.167,1.151
WEC_SDGE,1.154,1.154,1.12,1,1.046,1.076,1,1.055,1.084,1.084,1.054,1.049,1.045,1.141,1.141,1.123
WECC_AZ,1.187,1.187,1.19,1,1.011,1,1,0.982,1.035,1.035,0.968,0.97,0.986,1.181,1.181,1.166
WECC_CO,1.157,1.157,1.194,1,0.988,0.93,1,0.933,1.027,1.027,0.976,0.932,0.958,1.156,1.156,1.142
WECC_ID,1.045,1.045,1.07,1,1.006,1.002,1,0.982,1.008,1.008,1.003,1.009,0.989,1.066,1.066,1.068
WECC_IE,1.262,1.262,1.204,1,1.082,1.002,1,0.982,1.069,1.069,1.008,1.028,0.989,1.252,1.252,1.233
WECC_MT,1.021,1.021,1.056,1,0.992,1.002,1,0.982,1.039,1.039,0.99,0.953,0.989,1.037,1.037,1.03
WECC_NM,1.131,1.131,1.161,1,0.99,1,1,0.982,1.018,1.018,0.977,0.938,0.986,1.129,1.129,1.115
WECC_NNV,1.157,1.157,1.137,1,1.04,1.002,1,0.982,1.087,1.087,1.053,1.045,0.989,1.157,1.157,1.147
WECC_PNW,1.123,1.123,1.109,1,1.035,1.002,1,0.982,1.074,1.074,1.042,1.032,0.989,1.145,1.145,1.144
WECC_SCE,1.18,1.18,1.139,1,1.054,1.076,1,1.055,1.1,1.1,1.07,1.071,1.045,1.163,1.163,1.144
WECC_SNV,1.23,1.23,1.22,1,1.03,1.002,1,0.982,1.071,1.071,1.045,1.067,0.989,1.221,1.221,1.21
WECC_UT,1.05,1.05,1.075,1,1,1.002,1,0.982,1.043,1.043,0.997,0.982,0.989,1.063,1.063,1.061
WECC_WY,1.016,1.016,1.055,1,0.987,1.002,1,0.982,1.031,1.031,0.976,0.927,0.989,1.024,1.024,1.012
