Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
14,1,1,15,9640.64124147935,11354.3489995411,14881.3788160701,23668.5945518772,27402.6760076889,3096.29255678669,13705.1913796198,10886.7939361136,35342.6818888298
15,1,1,16,9687.28111247361,11609.2277828259,15475.8774106816,23895.2228552741,27760.2071351154,3092.7493154353,13936.9172961064,10891.2034018778,36089.9272385624
16,1,1,17,9700.12894686154,11537.3585545379,16205.278635139,23853.971245711,27742.3437009057,3028.60987474208,13894.7806241848,10812.0651290671,36087.6962057593
17,1,1,18,9612.10016935816,11306.5323403277,16259.7812544142,23766.2842370059,27402.9072294794,3019.85921379754,13712.1792354115,10647.6145292005,35945.9185961632
18,1,1,19,9387.17246516491,11043.9654349474,16111.1413750584,23532.84639532,26562.8915904724,2955.94260780534,13358.4462714384,10387.9088586228,35490.6051830884
19,1,1,20,9141.03934781431,10625.5180298377,15861.3941113589,23141.641353297,25401.3764903169,2864.05746458399,12761.4444706842,9985.09354790886,34853.6385541017
20,1,1,21,8823.11940105592,10133.1985820404,15452.956023348,22815.1287798626,24037.0861881398,2726.02964809252,12220.7769385941,9569.76280129144,33984.4520604268
21,1,1,22,8577.25762524829,9831.80206170034,14600.54465673,22566.9894712734,22777.0570574392,2677.02216847195,11751.14963433,9309.60161853554,33343.5713406202
22,1,1,23,8508.29706203379,9567.9894654915,13988.1790460932,22490.8315504453,22137.0677075308,2620.95046323494,11534.4583327982,9150.41903548331,33187.6633468503
23,1,1,24,8494.53897438574,9429.87664845559,13512.170995093,22462.3560111493,21679.1398285167,2605.88229519466,11386.7424181374,9088.50835832297,33092.3393683213
24,1,2,1,8440.32691632427,9386.44798705119,13191.7802419868,22495.2869033957,21366.8900666733,2573.38356578709,11359.3012034968,9068.53790936692,33247.8357979151
25,1,2,2,8524.72587686666,9311.66780374101,12964.9828889797,22690.3511750938,21256.0737795156,2581.99475942168,11480.3123113759,9144.72716334202,33484.0214637902
26,1,2,3,8616.56149112452,9379.62925280353,12861.2895459468,22965.9924292359,21481.9203195886,2615.72714814023,11709.8032665144,9332.31796368466,34077.4989615106
27,1,2,4,8778.81678671296,9579.72901015441,12871.8339195303,23279.8127781657,21970.9806903322,2688.79018841198,12039.0314737833,9606.07173723056,34898.6806754757
28,1,2,5,8960.81502322419,9927.92544727979,13089.7486767134,23561.2010244328,22458.2899952798,2781.05010282907,12313.5695372049,9885.27377684527,35668.5376982728
29,1,2,6,9062.96925104192,10021.4037346137,13442.1585051936,23576.5658097603,22774.2198818968,2833.25477529686,12329.1603171096,10012.6398972991,36026.9445472135
30,1,2,7,9049.1963518066,10175.3445134354,13669.3949720506,23197.6394636137,22893.9149792209,2890.19772091741,12159.889145571,10027.6315687509,35716.9502979597
31,1,2,8,8949.43522875004,10192.4117522546,13834.2883870069,22916.4813518234,22871.5090765111,2893.15898822637,11893.2779037947,9993.67174344748,34900.70214081
32,1,2,9,8831.56736347377,10180.751959158,13933.5977997739,22665.6743854927,22942.001772561,2929.7568938642,11652.5222783658,9953.34175973261,33903.6252958041
33,1,2,10,8788.14458752896,10147.5552676373,13937.83213355,22356.8272546194,22844.5899707302,2882.83311429843,11480.3664077729,9779.38709104354,32873.0566065345
34,1,2,11,8625.90662564368,10009.6664994434,13902.3182415301,22092.3607131996,22778.8481867324,2864.03453873991,11365.8924451267,9663.69090188142,32126.5576177684
35,1,2,12,8617.18086237882,9941.23752786889,13736.2277374325,21960.1484292797,23075.4391182006,2820.13480188883,11446.869549799,9598.98889619627,31722.6462621297
36,1,2,13,8622.38803297605,9917.70141648523,13654.9925452216,22009.092218426,23620.4487445102,2809.40446225419,11595.1401857841,9629.59381379644,31540.3123455109
37,1,2,14,8904.23095665934,10067.0344507919,13511.7589501014,22670.1737088107,24832.5294510228,2886.07808155747,12243.4840234848,9979.68002717702,32013.0888747974
38,1,2,15,9222.76512524541,10597.1737104936,13630.6166237035,23545.9436481683,26296.5706543019,3003.08645219091,13118.4697393646,10445.6576329368,33561.8747959403
39,1,2,16,9303.09171959901,10793.5607708716,14110.3396374111,23813.223699772,26548.3236050059,2961.85097552402,13363.0467521777,10438.0561800344,34747.2232059826
40,1,2,17,9247.59577945298,10750.6941551784,14865.2327797344,23806.252046677,26481.2156447826,2929.77759311033,13344.8819859098,10333.8570264675,34905.7314932277
41,1,2,18,9207.72384376286,10671.4711878235,14903.4053897849,23840.7748980156,26241.1210024638,2923.31760461899,13270.2779245307,10247.2540240071,35100.6900475245
42,1,2,19,9054.15147604988,10451.0514948639,14864.9954815299,23661.1676113021,25617.2735664909,2830.15817601165,13053.4493402873,10019.759707979,34814.9685635211
43,1,2,20,8931.42771686794,10220.3820734365,14708.1872523351,23361.5971153433,24840.0895972878,2719.9826792108,12648.1602156762,9726.6174028921,34246.7678213069
44,1,2,21,8685.99320238746,9824.3089125266,14470.2903640044,23155.2268062797,23854.6245099413,2640.39741021914,12295.1078534875,9386.84579694959,33582.3730491055
45,1,2,22,8561.90721280127,9510.5675757139,13973.4614383212,23017.2156341076,22963.3815637641,2554.68962244882,11935.3722149553,9148.08012849961,33119.2218001545
46,1,2,23,8459.25401883961,9333.04951260317,13438.4554244082,23023.981398791,22259.0411897137,2519.25328526015,11721.6446215949,9021.41013485594,32722.3485644448
47,1,2,24,8462.32358759953,9196.43787090381,12972.66073177,23036.6960439853,21810.0006570592,2501.1304858778,11608.2376646833,8976.54928993183,32813.4430737119
48,1,3,1,8436.49045095432,9108.35375277578,12649.7865905212,23082.0802893082,21540.6148150969,2482.73235062949,11574.6960012542,8964.36487897374,32784.2340430645
49,1,3,2,8492.75897289088,9096.46560080507,12336.3701251742,23232.4689497148,21418.6699245988,2471.58230330638,11678.8026832443,9028.9868349278,32891.613543199
50,1,3,3,8552.63496472053,9190.06628283529,12200.3480388764,23450.9267796949,21581.7046863383,2541.08073791865,11887.7966790926,9208.83844819688,33179.2124222264
51,1,3,4,8720.16119054796,9283.74894316422,12116.4503592862,23692.1746481504,21895.1980088463,2607.59167579071,12164.7595920622,9424.70595253041,33650.7206031546
52,1,3,5,8923.43701921892,9503.54979362732,12196.0239482777,23974.6565752171,22244.6877515529,2704.00465658338,12389.2522408543,9732.06832588953,34181.2226869826
53,1,3,6,9000.42621867407,9600.85317192223,12303.186235424,23986.6249915237,22408.2179176572,2745.35397985067,12352.811953307,9822.26116601841,34364.4451227802
54,1,3,7,8716.12198299343,9799.0425468623,12424.1894721451,23540.2575588827,22375.3358736122,2760.77107519061,11826.3258482774,9678.34328646933,33962.8053260748
55,1,3,8,8445.51390956902,9794.03308830895,12689.465226167,22911.267947801,22149.2278109641,2780.02499325068,11397.5863700615,9507.34060306562,32995.8887386941
56,1,3,9,8227.95255628083,9780.40513208752,12887.2966717631,22450.9131498161,22128.7227883,2758.38273743202,11048.1157250592,9361.06213413516,31950.1290012189
57,1,3,10,8045.86544979038,9774.59737456095,13120.3701273777,22054.0058138236,21993.2777090411,2720.87604068634,10761.0430988191,9151.32409587818,30937.2888630841
58,1,3,11,7862.44364567019,9753.37237749862,13216.6268841656,21709.0598705775,21804.8556365296,2718.94388211905,10676.0363506689,8911.29824216268,30134.9885486336
59,1,3,12,7800.74553410984,9674.59451560333,13232.2814159664,21533.7647641579,22114.2745754334,2693.59239048314,10814.9761594396,8842.18346503604,29519.9924400247
60,1,3,13,7809.48607565988,9647.07798470246,13266.7329562702,21480.4042289487,22798.2555610033,2712.90102398646,10891.7052646385,8953.10648402473,29283.7490421449
61,1,3,14,8037.17795053664,9811.83364145871,13291.1539852757,21990.4693519127,24038.0100849919,2785.72675123985,11461.3647077863,9338.35626828591,29742.8337159892
62,1,3,15,8434.09433781743,10271.366552237,13365.5520383287,22900.0082076285,25567.5301336408,2909.69733235734,12295.5210969246,9806.58369447759,30976.3388655357
63,1,3,16,8524.11449235845,10333.9545964369,13814.4222172751,23206.4967479327,25792.9116318582,2906.32368867262,12559.7626141516,9807.59695529836,31614.0549086471
64,1,3,17,8459.52025853793,10218.9644225683,14234.8920140284,23180.2719559814,25777.6393326614,2832.64070151039,12548.734381195,9685.78673446349,31458.404785492
65,1,3,18,8318.51399861272,10021.2598389146,14154.3339978904,23142.8989096953,25455.8706773917,2777.99301310493,12511.2943129201,9527.83953475813,30990.6375879378
66,1,3,19,8144.09729081976,9587.45578818627,13966.1233992694,22768.1570562763,24640.5775060489,2696.34356632105,12131.2781960448,9209.14501408976,30244.6985534369
67,1,3,20,7804.10853597067,9268.59181467673,13724.8227605394,22288.3778213258,23527.946321178,2580.93871009689,11565.9424997225,8765.45604800652,29199.0206282935
68,1,3,21,7612.69855340791,8859.62237512458,13366.2544844444,21906.2548658078,22429.8496790131,2496.54574210671,11007.7517324906,8399.95157183983,28250.1424854933
69,1,3,22,7426.12740499739,8508.62502106071,12920.5358413057,21617.1731195823,21635.6761864569,2420.06931290109,10608.5494374588,8213.01173588556,27556.4740587702
70,1,3,23,7307.43876246067,8374.62979513332,12270.3544895407,21424.0030845495,20770.0385684851,2391.16657120404,10327.9995298844,8091.02149823366,27211.8780684181
71,1,3,24,7273.64740846159,8204.47104244956,11831.2658031058,21304.7416424853,20293.0295225799,2379.06169728612,10169.1062551982,8081.70078050075,27007.0482194409
72,1,4,1,7187.1071603014,8154.23275236238,11472.50147931,21281.5584680705,20015.3532762943,2349.70760814315,10099.3135696686,8138.09209573435,27041.0058245531
