Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,Owner Name,Owner Percent,Holding Company,Holding Company Percent,Regulatory Status,Linked Generator ID_1,Linked Generator ID_2,Linked Generator ID_3,Linked Generator ID_4,Linked Generator ID_5,Linked Generator ID_6
Herbert A Wagner,1554_B_1,1554,B,1,1007.0,O/G Steam,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,126.0,10859,1956,2025,wall,dry,N,"Natural Gas, Residual Fuel Oil",,,,LNB,SNCR,,,ESPC,No,,,,,0.09203,0.09203,0.09203,0.09203,,,,,,,,,,,,H.A. Wagner LLC,100.0,H.A. Wagner LLC,100.0,Non-regulated,1,,,,,
Herbert A Wagner,1554_B_3,1554,B,3,1009.0,Coal Steam,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,305.0,10767,1966,2025,wall,dry,N,"Bituminous, Subbituminous",,,,LNBO,SCR,2002.0,,ESPC,No,ACI,2010.0,0.9,1.2,0.3254,0.07951,0.3254,0.07951,0.1,0.1,0.1,0.98,Yes,2016.0,,,C2G (RFO),2024.0,,H.A. Wagner LLC,100.0,H.A. Wagner LLC,100.0,Non-regulated,3,,,,,
Herbert A Wagner,1554_B_4,1554,B,4,1010.0,O/G Steam,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,397.0,10961,1972,2025,wall,dry,N,Residual Fuel Oil,,,,BOOS + LA + LNB,,,,ESPC,No,,,,0.6,0.23528,0.23528,0.23528,0.23528,,,,,,,,,,,,H.A. Wagner LLC,100.0,H.A. Wagner LLC,100.0,Non-regulated,4,,,,,
Morgantown Generating Plant,1573_G_5,1573,G,5,1071.0,Combustion Turbine,,PJM_SMAC,Maryland,24,Charles,17,24017,54.0,14270,1973,2024,,,N,Distillate Fuel Oil,,,,,,,,,,,,,0.3,0.54205,0.54205,0.54205,0.54205,,,,,,,,,,,,"Morgantown Power, LLC",100.0,"Morgantown Power, LLC",100.0,Non-regulated,,,,,,
Morgantown Generating Plant,1573_G_6,1573,G,6,1072.0,Combustion Turbine,,PJM_SMAC,Maryland,24,Charles,17,24017,54.0,14270,1973,2024,,,N,Distillate Fuel Oil,,,,,,,,,,,,,0.3,0.54197,0.54197,0.54197,0.54197,,,,,,,,,,,,"Morgantown Power, LLC",100.0,"Morgantown Power, LLC",100.0,Non-regulated,,,,,,
Easton,1580_G_8,1580,G,8,,Combustion Turbine,IC Engine,PJM_EMAC,Maryland,24,Talbot,41,24041,2.0,13504,1957,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,0.3,2.91268,2.91268,2.91268,2.91268,,,,,,,,,,,,Easton Utilities Comm,100.0,Easton Utilities Comm,100.0,Regulated,,,,,,
Herbert A Wagner,1554_G_GT1,1554,G,GT1,,Combustion Turbine,,PJM_SMAC,Maryland,24,Anne Arundel,3,24003,12.9,13097,1967,2025,,,N,Distillate Fuel Oil,,,,,,,,,,,,,1.053,0.70576,0.70576,0.70576,0.70576,,,,,,,,,,,,H.A. Wagner LLC,100.0,H.A. Wagner LLC,100.0,Non-regulated,,,,,,
Arcanum,2902_G_2,2902,G,2,,Combustion Turbine,IC Engine,PJM_West,Ohio,39,Darke,37,39037,0.6,11444,1946,2022,,,N,Distillate Fuel Oil,,,,,,,,,,,,,0.5,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,City of Arcanum - (OH),100.0,City of Arcanum - (OH),100.0,Regulated,,,,,,
Chesapeake,3803_G_GT2,3803,G,GT2,,Combustion Turbine,,PJM_Dom,Virginia,51,Chesapeake City,550,51550,12.0,16260,1969,2019,,,N,Distillate Fuel Oil,,,,,,,,,,,,,2.64,0.18424,0.18424,0.18424,0.18424,,,,,,,,,,,,Virginia Electric & Power Co,100.0,Dominion Energy Inc,100.0,Regulated,,,,,,
Presence Saint Mary of Nazareth Hospital,54886_G_GEN4,54886,G,GEN4,,Combustion Turbine,IC Engine,PJM_COMD,Illinois,17,Cook,31,17031,0.9,13469,1993,2024,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Presence Health,100.0,Presence Health,100.0,Non-regulated,,,,,,
Presence Saint Mary of Nazareth Hospital,54886_G_GEN5,54886,G,GEN5,,Combustion Turbine,IC Engine,PJM_COMD,Illinois,17,Cook,31,17031,0.9,13469,1993,2024,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Presence Health,100.0,Presence Health,100.0,Non-regulated,,,,,,
INEOS Naperville Cogeneration Plant,50722_G_GEN1,50722,G,GEN1,,Combustion Turbine,,PJM_COMD,Illinois,17,DuPage,43,17043,7.0,8700,1990,2023,,,Y,Natural Gas,,,,,,,,,,,,,1.0,0.16383,0.16383,0.16383,0.16383,,,,,,,,,,,,INEOS US Chemicals Company - Naperville Campus,100.0,INEOS US Chemicals Company - Naperville Campus,100.0,Non-regulated,,,,,,
Parlin Power Plant,50799_G_GEN1,50799,G,GEN1,3696.0,Combined Cycle,,PJM_EMAC,New Jersey,34,Middlesex,23,34023,35.9,10070,1991,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,STM,SCR,,,,,,,,,0.06723,0.06723,0.06723,0.06723,,,,,,,,,,,,"EFS Parlin Holdings, LLC",100.0,"EFS Parlin Holdings, LLC",100.0,Non-regulated,,,,,,
Parlin Power Plant,50799_G_GEN2,50799,G,GEN2,3697.0,Combined Cycle,,PJM_EMAC,New Jersey,34,Middlesex,23,34023,37.5,10070,1991,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,STM,SCR,,,,,,,,,0.06723,0.06723,0.06723,0.06723,,,,,,,,,,,,"EFS Parlin Holdings, LLC",100.0,"EFS Parlin Holdings, LLC",100.0,Non-regulated,,,,,,
Parlin Power Plant,50799_G_GEN3,50799,G,GEN3,3696.0,Combined Cycle,,PJM_EMAC,New Jersey,34,Middlesex,23,34023,20.6,10070,1991,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,STM,SCR,,,,,,,,,0.06723,0.06723,0.06723,0.06723,,,,,,,,,,,,"EFS Parlin Holdings, LLC",100.0,"EFS Parlin Holdings, LLC",100.0,Non-regulated,,,,,,
