Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,Owner Name,Owner Percent,Holding Company,Holding Company Percent,Regulatory Status,Linked Generator ID_1,Linked Generator ID_2,Linked Generator ID_3,Linked Generator ID_4,Linked Generator ID_5,Linked Generator ID_6
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN25,54766,G,GEN25,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN26,54766,G,GEN26,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN27,54766,G,GEN27,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN28,54766,G,GEN28,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN29,54766,G,GEN29,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN3,54766,G,GEN3,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN30,54766,G,GEN30,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN31,54766,G,GEN31,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN32,54766,G,GEN32,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN33,54766,G,GEN33,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN34,54766,G,GEN34,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,2000,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN4,54766,G,GEN4,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN5,54766,G,GEN5,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN6,54766,G,GEN6,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN7,54766,G,GEN7,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN8,54766,G,GEN8,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
Boydton Plank Road Cogen Plant Hybrid,54766_G_GEN9,54766,G,GEN9,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Dinwiddie,53,51053,0.3,11084,1993,2023,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,Dinwiddie Power Inc,100.0,INGENCO,100.0,Non-regulated,,,,,,
MM Prince William Energy,55156_G_UNT1,55156,G,UNT1,,Landfill Gas,,PJM_Dom,Virginia,51,Prince William,153,51153,0.9,13500,1998,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,MM Prince William Energy LLC,100.0,FORTISTAR,100.0,Non-regulated,,,,,,
MM Prince William Energy,55156_G_UNT2,55156,G,UNT2,,Landfill Gas,,PJM_Dom,Virginia,51,Prince William,153,51153,0.9,13500,1998,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,MM Prince William Energy LLC,100.0,FORTISTAR,100.0,Non-regulated,,,,,,
MM Prince William Energy,55156_G_UNT3,55156,G,UNT3,,Landfill Gas,,PJM_Dom,Virginia,51,Prince William,153,51153,1.6,13500,2013,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.58809,0.58809,0.58809,0.58809,,,,,,,,,,,,MM Prince William Energy LLC,100.0,FORTISTAR,100.0,Non-regulated,,,,,,
MM Prince William Energy,55156_G_UNT4,55156,G,UNT4,,Landfill Gas,,PJM_Dom,Virginia,51,Prince William,153,51153,1.6,13500,2013,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.58809,0.58809,0.58809,0.58809,,,,,,,,,,,,MM Prince William Energy LLC,100.0,FORTISTAR,100.0,Non-regulated,,,,,,
MM Prince William Energy,55156_G_UNT5,55156,G,UNT5,,Landfill Gas,,PJM_Dom,Virginia,51,Prince William,153,51153,1.6,13500,2013,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.58809,0.58809,0.58809,0.58809,,,,,,,,,,,,MM Prince William Energy LLC,100.0,FORTISTAR,100.0,Non-regulated,,,,,,
Elwood Energy LLC,55199_G_GT1,55199,G,GT1,4110.0,Combustion Turbine,,PJM_COMD,Illinois,17,Will,197,17197,150.0,11361,1999,2025,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.05258,0.05258,0.05258,0.05258,,,,,,,,,,,,J Power USA Development Co Ltd,100.0,J Power USA Development Co Ltd,100.0,Non-regulated,,,,,,
Elwood Energy LLC,55199_G_GT2,55199,G,GT2,4116.0,Combustion Turbine,,PJM_COMD,Illinois,17,Will,197,17197,150.0,11361,1999,2025,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.04936,0.04936,0.04936,0.04936,,,,,,,,,,,,J Power USA Development Co Ltd,100.0,J Power USA Development Co Ltd,100.0,Non-regulated,,,,,,
Elwood Energy LLC,55199_G_GT3,55199,G,GT3,4117.0,Combustion Turbine,,PJM_COMD,Illinois,17,Will,197,17197,150.0,11361,1999,2025,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.05352,0.05352,0.05352,0.05352,,,,,,,,,,,,J Power USA Development Co Ltd,100.0,J Power USA Development Co Ltd,100.0,Non-regulated,,,,,,
Elwood Energy LLC,55199_G_GT4,55199,G,GT4,4118.0,Combustion Turbine,,PJM_COMD,Illinois,17,Will,197,17197,150.0,11361,1999,2025,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.04293,0.04293,0.04293,0.04293,,,,,,,,,,,,J Power USA Development Co Ltd,100.0,J Power USA Development Co Ltd,100.0,Non-regulated,,,,,,
Elwood Energy LLC,55199_G_GT5,55199,G,GT5,4119.0,Combustion Turbine,,PJM_COMD,Illinois,17,Will,197,17197,150.0,11361,2001,2025,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.03907,0.03907,0.03907,0.03907,,,,,,,,,,,,J Power USA Development Co Ltd,100.0,J Power USA Development Co Ltd,100.0,Non-regulated,,,,,,
Elwood Energy LLC,55199_G_GT6,55199,G,GT6,4120.0,Combustion Turbine,,PJM_COMD,Illinois,17,Will,197,17197,150.0,11361,2001,2025,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.03684,0.03684,0.03684,0.03684,,,,,,,,,,,,J Power USA Development Co Ltd,100.0,J Power USA Development Co Ltd,100.0,Non-regulated,,,,,,
Elwood Energy LLC,55199_G_GT7,55199,G,GT7,4121.0,Combustion Turbine,,PJM_COMD,Illinois,17,Will,197,17197,150.0,11361,2001,2025,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.03902,0.03902,0.03902,0.03902,,,,,,,,,,,,J Power USA Development Co Ltd,100.0,J Power USA Development Co Ltd,100.0,Non-regulated,,,,,,
Elwood Energy LLC,55199_G_GT8,55199,G,GT8,4122.0,Combustion Turbine,,PJM_COMD,Illinois,17,Will,197,17197,150.0,11361,2001,2025,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.03672,0.03672,0.03672,0.03672,,,,,,,,,,,,J Power USA Development Co Ltd,100.0,J Power USA Development Co Ltd,100.0,Non-regulated,,,,,,
Elwood Energy LLC,55199_G_GT9,55199,G,GT9,4123.0,Combustion Turbine,,PJM_COMD,Illinois,17,Will,197,17197,150.0,11361,2001,2025,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.03762,0.03762,0.03762,0.03762,,,,,,,,,,,,J Power USA Development Co Ltd,100.0,J Power USA Development Co Ltd,100.0,Non-regulated,,,,,,
Southeast Chicago Energy Project,55281_G_GT05,55281,G,GT05,8494.0,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,37.0,12452,2002,2024,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.14116,0.14116,0.14116,0.14116,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,,,,,,
Southeast Chicago Energy Project,55281_G_GT06,55281,G,GT06,8496.0,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,37.0,12454,2002,2024,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.17043,0.17043,0.17043,0.17043,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,,,,,,
Southeast Chicago Energy Project,55281_G_GT07,55281,G,GT07,8498.0,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,37.0,12454,2002,2024,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.13912,0.13912,0.13912,0.13912,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,,,,,,
Southeast Chicago Energy Project,55281_G_GT08,55281,G,GT08,8500.0,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,37.0,12454,2002,2024,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.15506,0.15506,0.15506,0.15506,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,,,,,,
Southeast Chicago Energy Project,55281_G_GT09,55281,G,GT09,8502.0,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,37.0,12454,2002,2024,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.14257,0.14257,0.14257,0.14257,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,,,,,,
Southeast Chicago Energy Project,55281_G_GT10,55281,G,GT10,8488.0,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,37.0,12454,2002,2024,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.14511,0.14511,0.14511,0.14511,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,,,,,,
Southeast Chicago Energy Project,55281_G_GT11,55281,G,GT11,8490.0,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,37.0,12454,2002,2024,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.15025,0.15025,0.15025,0.15025,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,,,,,,
Southeast Chicago Energy Project,55281_G_GT12,55281,G,GT12,8492.0,Combustion Turbine,,PJM_COMD,Illinois,17,Cook,31,17031,37.0,12454,2002,2024,,,N,Natural Gas,,,,DLNB,,,,,,,,,1.0,0.14543,0.14543,0.14543,0.14543,,,,,,,,,,,,"Constellation Power, Inc",100.0,"Constellation Power, Inc",100.0,Non-regulated,,,,,,
Laurel Ridge LFGTE,56279_G_1,56279,G,1,,Landfill Gas,,PJM_West,Kentucky,21,Laurel,125,21125,0.8,13500,2003,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.22117,0.22117,0.22117,0.22117,,,,,,,,,,,,"East Kentucky Power Coop, Inc",100.0,"East Kentucky Power Coop, Inc",100.0,Regulated,,,,,,
Laurel Ridge LFGTE,56279_G_2,56279,G,2,,Landfill Gas,,PJM_West,Kentucky,21,Laurel,125,21125,0.8,13500,2003,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.22117,0.22117,0.22117,0.22117,,,,,,,,,,,,"East Kentucky Power Coop, Inc",100.0,"East Kentucky Power Coop, Inc",100.0,Regulated,,,,,,
Laurel Ridge LFGTE,56279_G_3,56279,G,3,,Landfill Gas,,PJM_West,Kentucky,21,Laurel,125,21125,0.8,13500,2003,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.22117,0.22117,0.22117,0.22117,,,,,,,,,,,,"East Kentucky Power Coop, Inc",100.0,"East Kentucky Power Coop, Inc",100.0,Regulated,,,,,,
Laurel Ridge LFGTE,56279_G_4,56279,G,4,,Landfill Gas,,PJM_West,Kentucky,21,Laurel,125,21125,0.8,13500,2003,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.22117,0.22117,0.22117,0.22117,,,,,,,,,,,,"East Kentucky Power Coop, Inc",100.0,"East Kentucky Power Coop, Inc",100.0,Regulated,,,,,,
Laurel Ridge LFGTE,56279_G_5,56279,G,5,,Landfill Gas,,PJM_West,Kentucky,21,Laurel,125,21125,0.8,13500,2006,2023,,,N,Landfill Gas,,,,,,,,,,,,,,0.22117,0.22117,0.22117,0.22117,,,,,,,,,,,,"East Kentucky Power Coop, Inc",100.0,"East Kentucky Power Coop, Inc",100.0,Regulated,,,,,,
Danville New Design Plant,56363_G_GEN 1,56363,G,GEN 1,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Danville City,590,51590,1.2,12283,2005,2024,,,N,Distillate Fuel Oil,,,,,,,,,,,,,2.64,1.64976,1.64976,1.64976,1.64976,,,,,,,,,,,,City of Danville - (VA),100.0,City of Danville - (VA),100.0,Regulated,,,,,,
Pennsauken Landfill,56511_G_GEN2,56511,G,GEN2,,Landfill Gas,,PJM_EMAC,New Jersey,34,Camden,7,34007,0.9,13500,2004,2018,,,N,Landfill Gas,,,,,,,,,,,,,,0.22117,0.22117,0.22117,0.22117,,,,,,,,,,,,"NextEra Renewable Fuels, LLC",100.0,"NextEra Renewable Fuels, LLC",100.0,Non-regulated,,,,,,
Whitemarsh Central Utility Plant,56513_G_CGE,56513,G,CGE,,Combustion Turbine,IC Engine,PJM_EMAC,Pennsylvania,42,Montgomery,91,42091,1.6,15215,2007,2022,,,N,Natural Gas,,,,,,,,,,,,,,0.2883,0.2883,0.2883,0.2883,,,,,,,,,,,,Whitemarsh Continuing Care Retirement Community,100.0,Whitemarsh Continuing Care Retirement Community,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_1,56693,G,1,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_10,56693,G,10,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_11,56693,G,11,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_12,56693,G,12,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_13,56693,G,13,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_14,56693,G,14,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_15,56693,G,15,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_16,56693,G,16,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_17,56693,G,17,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_18,56693,G,18,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_19,56693,G,19,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_2,56693,G,2,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_20,56693,G,20,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_21,56693,G,21,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_22,56693,G,22,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_23,56693,G,23,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_24,56693,G,24,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_25,56693,G,25,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_26,56693,G,26,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_27,56693,G,27,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_28,56693,G,28,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_29,56693,G,29,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_3,56693,G,3,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
Virginia Beach,56693_G_30,56693,G,30,,Landfill Gas,,PJM_Dom,Virginia,51,Virginia Beach City,810,51810,0.3,13500,2001,2024,,,N,Landfill Gas,,,,,,,,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,Industrial Power Generating Company LLC,100.0,Industrial Power Generating Company LLC,100.0,Non-regulated,,,,,,
