Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,41,11057.50249,11320.8931,21725.47818,56516.19329,26502.52009,7516.013512,13228.99734,11725.58431,40816.2502
,,,,,,,,42,11025.94518,11250.9684,21815.26801,56561.47504,26311.45077,7509.83876,13188.7791,11644.7173,41033.28371
,,,,,,,,43,10895.59792,11051.36733,21786.107,56465.31949,25790.36338,7427.006434,13005.82387,11433.08729,40769.65468
,,,,,,,,44,10798.6264,10839.07127,21648.27065,56240.82224,25092.86563,7326.356932,12659.47305,11152.5783,40193.04686
,,,,,,,,45,10576.08194,10469.65685,21414.73461,56090.58478,24182.00862,7254.976526,12349.81149,10826.96979,39515.43494
,,,,,,,,46,10487.83795,10184.21139,20922.6567,56048.989,23437.93905,7178.617788,12063.27259,10602.36259,39068.54299
,,,,,,,,47,10399.59167,10025.20295,20408.82827,56086.75828,22776.93034,7147.951545,11871.44096,10485.10353,38674.62527
,,,,,,,,48,10408.0627,9903.065597,19956.95158,56125.67393,22382.96714,7132.445143,11772.70066,10445.74415,38789.55955
,,,,,,,,49,10389.3728,9824.273489,19645.83382,56190.67398,22157.25415,7117.028859,11740.84736,10437.73699,38778.05186
,,,,,,,,50,10439.79771,9816.413788,19338.69069,56335.5475,22059.93015,7106.80501,11825.31862,10501.27319,38899.16668
,,,,,,,,51,10493.17705,9905.166548,19207.31424,56540.57804,22211.6019,7170.892662,11998.54583,10674.31585,39205.53764
,,,,,,,,52,10636.6433,9990.965561,19122.04762,56745.61416,22524.30464,7230.973529,12235.46887,10881.06243,39694.70066
,,,,,,,,53,10810.73532,10193.81671,19199.29055,56926.39125,22824.43611,7318.160058,12422.5985,11173.9258,40226.34918
,,,,,,,,54,10867.55121,10275.64677,19288.34318,56811.6525,22925.96181,7351.466915,12384.5909,11254.06313,40374.55955
,,,,,,,,55,10601.92646,10454.82357,19377.03588,56259.26454,22799.99018,7363.2306,11920.72976,11106.71487,39904.13933
,,,,,,,,56,10346.91642,10436.21699,19610.95065,55532.34389,22478.64413,7376.78855,11537.7758,10931.36304,38832.63405
,,,,,,,,57,10145.12544,10407.32716,19772.07079,55042.10449,22332.95472,7353.717484,11221.18732,10780.41675,37691.10787
,,,,,,,,58,9975.176465,10391.53786,19979.64708,54610.15679,22091.90441,7316.368293,10945.89708,10572.14802,36593.16053
,,,,,,,,59,9804.414435,10361.56346,20050.18047,54269.05867,21908.41814,7314.239372,10867.57377,10335.80871,35725.56361
,,,,,,,,60,9745.451644,10280.59869,20045.09611,54096.52607,22165.16022,7288.933835,10992.61337,10264.56027,35060.79661
,,,,,,,,61,9753.4967,10250.51569,20062.2253,54079.18689,22802.53165,7307.408656,11054.58333,10371.9312,34812.12831
,,,,,,,,62,9953.821646,10398.19476,20083.69202,54555.10303,23988.83759,7373.726972,11550.55621,10741.43077,35277.24663
