State,2028,2030,2035,2040,2045,2050,2055
California,158266.0,150564.0,135237.0,102949.0,75365.0,73943,89090
Colorado,,,,,,51354,54187
Illinois,,,,91212.0,94870.0,11251,11710
New Mexico,,,14248.0,11682.0,11995.0,6309,6747
Nevada,,,,,,5874,6514
New York,69195.0,58109.0,63363.0,14244.0,15195.0,15925,16652
Oregon,,,,7530.0,8258.0,8982,9698
Virginia,,,,66893.0,44218.0,42019,44149
Washington,,10676.0,11704.0,12796.0,14035.0,15264,16481
