Time,Month,Day,Hour,APS,ATSI,COMED,DOM,AE,PS,PECO,JCPL,DPL,RECO,PENLC,BGE,PEPCO,METED,PL,AEP,DAY,DLCO,DEOK,EKPC,OVEC
10,1,1,11,8134.853733,10260.71035,13751.10097,16460.45528,1866.146976,6933.911219,5721.380613,4195.119607,2763.17653,272.6285512,2817.526967,5621.559855,5122.668768,2774.48576,6781.928448,20427.65424,2994.702687,2548.450993,4868.16481,1975.803449,81.25124375
11,1,1,12,8079.702147,10277.73062,13635.00213,16335.67917,1871.474007,6953.704493,5737.712644,4207.094833,2771.064186,273.4067861,2773.915742,5609.486918,5111.667257,2748.902748,6719.393559,20126.12202,2950.497937,2510.833355,4796.305921,1946.638651,80.05189567
12,1,1,13,8143.438181,10316.00317,13599.83351,16522.54432,1913.00575,7108.021074,5865.043939,4300.458664,2832.559631,279.4742283,2747.93746,5763.510832,5252.02216,2769.24287,6769.112773,19983.11031,2929.532361,2492.991937,4762.224447,1932.806274,79.48306486
13,1,1,14,8397.838939,10397.21078,13558.46079,17125.45767,2018.650713,7500.55864,6188.938599,4537.94974,2988.986582,294.9080786,2794.999195,6110.245589,5567.985586,2866.166669,7006.032449,20259.77293,2970.091217,2527.506969,4828.156601,1959.565634,80.58349381
14,1,1,15,8745.591004,10765.28073,13636.53254,18077.87875,2170.958575,8066.478261,6655.896056,4880.339544,3214.506604,317.1589904,2877.458554,6585.753946,6001.294467,3015.234324,7370.412107,21161.13728,3102.231608,2639.956633,5042.962967,2046.747391,84.16868148
15,1,1,16,8790.717902,11016.28102,14210.55363,18372.90679,2205.057196,8193.176114,6760.4383,4956.993633,3264.995935,322.1405154,2877.330061,6706.79621,6111.594711,3019.036452,7379.705994,21661.07717,3175.523006,2702.326609,5162.104879,2095.102574,86.15719849
16,1,1,17,8826.333458,10983.84794,14952.0786,18468.55143,2206.987874,8200.349796,6766.357523,4961.333817,3267.85466,322.4225713,2826.01495,6716.054816,6120.031653,3002.998538,7340.503061,21707.58343,3182.340844,2708.128496,5173.187902,2099.600752,86.34217772
17,1,1,18,8761.312467,10782.35824,15070.36493,18419.1658,2189.583152,8135.680295,6712.996754,4922.207805,3242.083744,319.8798862,2819.710778,6659.584865,6068.573185,2959.094171,7233.183614,21636.2656,3171.88562,2699.231244,5156.191974,2092.70275,86.05851019
18,1,1,19,8572.605242,10547.09663,14961.97912,18282.35791,2130.95672,7917.846179,6533.255214,4790.414919,3155.276443,311.3150521,2764.519485,6512.288119,5934.34844,2888.879756,7061.55212,21365.49668,3132.190783,2665.45148,5091.664363,2066.51344,84.98152351
19,1,1,20,8369.302093,10162.97399,14752.36164,17983.32846,2041.976654,7587.229198,6260.453108,4590.386719,3023.524961,298.3158045,2681.460785,6245.6543,5691.377313,2777.306831,6788.824248,20973.8058,3074.768735,2616.586104,4998.31954,2028.628317,83.42356825
20,1,1,21,8084.111454,9705.842827,14365.99831,17725.79422,1935.118005,7190.182027,5932.837435,4350.167264,2865.300924,282.7046449,2556.807271,5995.552876,5463.471396,2661.856311,6506.618018,20429.55104,2994.980759,2548.687628,4868.616841,1975.986911,81.2587883
21,1,1,22,7881.953657,9422.583169,13531.51218,17565.82481,1836.155346,6822.473425,5629.429906,4127.698081,2718.768361,268.2470234,2511.612517,5781.566027,5268.475029,2588.745388,6327.906325,20028.18804,2936.140775,2498.615607,4772.967033,1937.166282,79.66236209
22,1,1,23,7823.592498,9181.54146,12930.1898,17525.15745,1784.868277,6631.909667,5472.189965,4012.404168,2642.828349,260.7544093,2461.886033,5679.856208,5175.791552,2545.568402,6222.364882,19941.3769,2923.414225,2487.785487,4752.278854,1928.769735,79.31706971
23,1,1,24,7817.137514,9057.977061,12467.79435,17525.11174,1750.321252,6503.545712,5366.27297,3934.742063,2591.675074,255.7073763,2449.201098,5612.677795,5114.574956,2529.351635,6182.72476,19890.66731,2915.980178,2481.459215,4740.194127,1923.865002,79.1153717
24,1,2,1,7773.275721,9021.635303,12159.23423,17578.33229,1727.34616,6418.178777,5295.834121,3883.093795,2557.656191,252.3509064,2420.760538,5598.770474,5101.901854,2524.839667,6171.695746,20004.48054,2932.665245,2495.657979,4767.31724,1934.873245,79.56806521
25,1,2,2,7848.652129,8953.989208,11941.30031,17765.46401,1719.934206,6390.638701,5273.109968,3866.431638,2546.68142,251.2680816,2428.789526,5650.612088,5149.142731,2546.535456,6224.728741,20164.04209,2956.057035,2515.564072,4805.342746,1950.306356,80.20272321
26,1,2,3,7930.379418,9018.368812,11843.21931,18024.58374,1738.237759,6458.647927,5329.226445,3907.578234,2573.783223,253.9420785,2459.841206,5750.516977,5240.181459,2598.948534,6352.846805,20554.60387,3013.313556,2564.288588,4898.41849,1988.08227,81.75618745
27,1,2,4,8069.170399,9205.329997,11855.21875,18298.26541,1779.855268,6613.28318,5456.820686,4001.134866,2635.405659,260.0220503,2525.974044,5898.11546,5374.681163,2675.2342,6539.318812,21087.35544,3091.41516,2630.751984,5025.379836,2039.611065,83.87521334
28,1,2,5,8224.389341,9530.236501,12074.93955,18478.00799,1817.214259,6752.095358,5571.358827,4085.118302,2690.72257,265.4798881,2609.324516,6018.657289,5484.525384,2752.349503,6727.818777,21574.24448,3162.793297,2691.493801,5141.411566,2086.703943,85.8118204
29,1,2,6,8303.526436,9608.430355,12416.57314,18366.48183,1838.763054,6832.162702,5637.424823,4133.560238,2722.629556,268.6279879,2652.658118,6022.301541,5487.846223,2786.058337,6810.216351,21781.00373,3193.104291,2717.288042,5190.684875,2106.70211,86.63420786
30,1,2,7,8277.861048,9745.54357,12614.67568,17877.88569,1840.809677,6839.767195,5643.699521,4138.16107,2725.659961,268.9269825,2702.777926,5941.148102,5413.894829,2787.920362,6814.76787,21548.90041,3159.077847,2688.332004,5135.37176,2084.252615,85.71101409
31,1,2,8,8174.391034,9747.923537,12745.20646,17479.97519,1830.402028,6801.096226,5611.79093,4114.764557,2710.249508,267.4065116,2701.286866,5814.100873,5298.122536,2775.509352,6784.430505,20982.19019,3075.99789,2617.632098,5000.317645,2029.439272,83.45691727
32,1,2,9,8061.027458,9720.904677,12804.85855,17187.94488,1825.56932,6783.139671,5596.974432,4103.900574,2703.093787,266.7004931,2732.010408,5697.621638,5191.980371,2761.448836,6750.061106,20305.21073,2976.752417,2533.175559,4838.984995,1963.960469,80.76422321
33,1,2,10,8014.072758,9679.078926,12776.75294,16839.2924,1808.093581,6718.206297,5543.395934,4064.614915,2677.217717,264.147433,2685.962953,5605.555007,5108.084287,2711.035125,6626.830276,19611.80142,2875.098321,2446.669315,4673.736906,1896.892537,78.00617921
