Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),Region Name,Zone
"Butler County, OH",0,8.54,0,8.54,8.54,PJM_West,AEP
"Cuyahoga County, OH",0,21.9,0,21.9,21.9,PJM_ATSI,ATSI
"Frederick County, MD",1749,0,231,231,1980,PJM_AP,APS
"Morris County, NJ",0,13,0,13,13,PJM_EMAC,AE
"Philadelphia County, PA",36,36.94,0,36.94,72.94,PJM_EMAC,PECO
"Bergen County, NJ",0,18,0,18,18,PJM_EMAC,AE
"Harrisonburg city, VA",0,18,0,18,18,PJM_Dom,DOM
"Hudson County, NJ",10,122.5,19.4,141.9,151.9,PJM_EMAC,AE
"Surry County, VA",280,0,20,20,300,PJM_Dom,DOM
"Kane County, IL",0,0,20,20,20,PJM_COMD,COMED
"Lucas County, OH",0,1.3,0,1.3,1.3,PJM_ATSI,ATSI
"Bucks County, PA",200,0,80,80,280,PJM_EMAC,PECO
"Virginia Beach city, VA",130,8,0,8,138,PJM_Dom,DOM
"Somerset County, NJ",10,62,0,62,72,PJM_EMAC,AE
"Putnam County, IL",82,0,0,0,82,PJM_COMD,COMED
"Louisa County, VA",750,0,70,70,820,PJM_Dom,DOM
"Mahoning County, OH",0,0.45,0,0.45,0.45,PJM_ATSI,ATSI
"Indiana County, PA",4500,0,0,0,4500,PJM_PENE,PENLC
"Cass County, MI",0,28,272,300,300,PJM_West,AEP
"Lackawanna County, PA",780,0,0,0,780,PJM_WMAC,METED
"Cook County, IL",2001.8,917.13,561,1478.13,3479.93,PJM_COMD,COMED
"Passaic County, NJ",0,25.05,0,25.05,25.05,PJM_EMAC,AE
"Oldham County, KY",600,0,0,0,600,PJM_West,AEP
"Monroe County, OH",695,0,0,0,695,PJM_West,AEP
"Tazewell County, IL",1000,0,0,0,1000,PJM_COMD,COMED
"Monmouth County, NJ",0,10.6,0,10.6,10.6,PJM_EMAC,AE
"Pittsylvania County, VA",800,0,0,0,800,PJM_Dom,DOM
"Montgomery County, PA",0,25.2,0,25.2,25.2,PJM_EMAC,PECO
"Berks County, PA",0,7,0,7,7,PJM_WMAC,METED
"Baltimore city, MD",0,59.5,0,59.5,59.5,PJM_SMAC,BGE
"King George County, VA",900,0,0,0,900,PJM_Dom,DOM
"Luzerne County, PA",940,98,122,220,1160,PJM_WMAC,METED
"Licking County, OH",1601,601,413,1014,2615,PJM_West,AEP
"DeKalb County, IL",360,260,60,320,680,PJM_COMD,COMED
"Middlesex County, NJ",32,183.93,12,195.93,227.93,PJM_EMAC,AE
"Prince William County, VA",5159,1675.4,1070,2745.4,7904.4,PJM_Dom,DOM
"Delaware County, OH",67.5,10.5,0,10.5,78,PJM_West,AEP
"Beaver County, PA",0,120,0,120,120,PJM_ATSI,ATSI
"Carbon County, PA",0,80,0,80,80,PJM_WMAC,METED
"Berrien County, MI",300,0,0,0,300,PJM_West,AEP
"Fairfield County, OH",800,75,0,75,875,PJM_West,AEP
"Clark County, OH",70,2,100,102,172,PJM_ATSI,ATSI
"Kendall County, IL",3103,0,40,40,3143,PJM_COMD,COMED
"Allen County, IN",300,0,0,0,300,PJM_West,AEP
"Union County, OH",140,250,80,330,470,PJM_ATSI,ATSI
"Warren County, OH",0,13.7,0,13.7,13.7,PJM_West,AEP
"Stark County, OH",0,1.5,221,222.5,222.5,PJM_ATSI,ATSI
"Perry County, OH",26,24,0,24,50,PJM_West,AEP
"Norfolk city, VA",0,0.75,0,0.75,0.75,PJM_Dom,DOM
"Erie County, OH",190,0,96,96,286,PJM_ATSI,ATSI
"Orange County, VA",600,0,0,0,600,PJM_AP,APS
"Cumberland County, NJ",550,0,50,50,600,PJM_EMAC,AE
"Butler County, PA",24.5,15.75,0,15.75,40.25,PJM_AP,APS
"Lake County, IL",420,0,60,60,480,PJM_COMD,COMED
"Lehigh County, PA",0,12.35,0,12.35,12.35,PJM_WMAC,METED
"Sussex County, VA",600,0,0,0,600,PJM_Dom,DOM
"Boone County, KY",0,4,0,4,4,PJM_West,AEP
"Mercer County, NJ",0,28,0,28,28,PJM_EMAC,AE
"DuPage County, IL",146,314.85,191,505.85,651.85,PJM_COMD,COMED
"Venango County, PA",0,83.5,0,83.5,83.5,PJM_PENE,PENLC
"Gloucester County, NJ",47.5,0,13.3,13.3,60.8,PJM_EMAC,AE
"District of Columbia, DC",0,10.04,0,10.04,10.04,PJM_SMAC,PEPCO
"Salem County, NJ",200,0,100,100,300,PJM_EMAC,AE
"Wood County, OH",40,0,40,40,80,PJM_ATSI,ATSI
"Mecklenburg County, VA",502.5,741.5,278,1019.5,1522,PJM_Dom,DOM
"Charles City County, VA",424,0,0,0,424,PJM_Dom,DOM
"Baltimore County, MD",0,1.2,0,1.2,1.2,PJM_SMAC,BGE
"Loudoun County, VA",6349.4,5333.67,596,5929.67,12279.07,PJM_Dom,DOM
"Montgomery County, MD",0,8.7,0,8.7,8.7,PJM_SMAC,BGE
"New Castle County, DE",2,7,0,7,9,PJM_EMAC,DPL
"Anne Arundel County, MD",0,3.25,0,3.25,3.25,PJM_SMAC,BGE
"Lancaster County, PA",0,0.5,0,0.5,0.5,PJM_EMAC,PECO
"Mercer County, PA",0,150,90,240,240,PJM_ATSI,ATSI
"Chester County, PA",450,5,0,5,455,PJM_EMAC,PECO
"Prince Edward County, VA",300,0,0,0,300,PJM_Dom,DOM
"Northampton County, PA",0,4,0,4,4,PJM_WMAC,METED
"Prince George's County, MD",834,2,20,22,856,PJM_SMAC,BGE
"Dauphin County, PA",0,0.4,0,0.4,0.4,PJM_WMAC,METED
"Appomattox County, VA",250,0,50,50,300,PJM_Dom,DOM
